x,y,mag,time
-1039.594782,312.1893176,3.2,36713
-1038.795752,379.4762921,4.3,36713
-1024.439299,347.8903404,4,36713
-1036.411198,342.3294335,4.1,36713
-1027.966493,347.4454679,3.8,36713
-1036.84423,344.9986688,3.4,36713
-1040.874222,335.2114725,3.9,36713
-996.2650679,309.297646,4.2,36713
-1037.473906,364.5730614,3.9,36713
-1011.102057,302.9582121,3.9,36713
-1032.939286,341.4396883,3.8,36713
-1037.550191,335.4339088,4.3,36713
-992.3008596,338.6592348,4.1,36713
-1037.588726,347.3342497,3.5,36713
-1031.545507,351.4493209,4.7,36713
-1045.393348,356.7877916,5,36713
-1031.846499,344.6650144,3.3,36713
-1050.017337,330.5403107,3.5,36713
-1030.9407,368.24326,3.6,36713
-1057.552033,327.9822935,3.7,36713
-986.7195672,351.4493209,3.5,36713
-992.0394795,332.5422372,3.6,36713
-1037.20876,328.6496023,3.5,36713
-1002.880329,297.2860869,4.4,36713
-1021.208372,300.511413,3.6,36713
-1038.721365,341.3284702,5.3,36713
-954.2449922,322.0877321,3.5,36713
-1055.138352,337.1021809,4.3,36713
-1047.066884,329.8730018,3.6,36713
-1050.061703,326.0915851,3.3,36713
-1013.047245,339.1041074,3.7,36713
-1011.666107,361.6813897,3.7,36713
-1035.262772,352.5615023,5.7,36713
-1033.399732,356.1204828,5,36713
-1022.173392,334.4329455,4,36713
-1036.166502,358.3448455,4.8,36713
-1030.904479,342.4406516,4.8,36713
-988.6614236,313.4127172,3.8,36713
-1040.508634,348.2239948,3.9,36713
-1022.693366,348.7800855,4.9,36713
-1044.438518,338.5480167,4.8,36713
-1012.445997,298.1758321,3.3,36713
-1023.785058,296.2851237,3.6,36713
-1037.8692,359.4570269,3.3,36713
-1037.26806,338.770453,3.4,36713
-1028.054492,330.9851832,3.8,36713
-1036.14934,347.1118135,3.6,36713
-1039.712453,351.2268846,5,36713
-1002.411526,311.9668814,4.5,36713
-995.4733846,315.8595162,3.6,36713
-1041.309817,343.552833,4.4,36713
-1040.072657,365.0179339,4.9,36713
-1004.316487,322.4213865,3.1,36713
-1036.582717,333.4319823,3.4,36713
-1050.287157,359.5682451,3.3,36713
-1035.096682,345.8884139,4.6,36713
-1043.073971,332.7646735,3.6,36713
-1007.37061,353.3400293,3.7,36713
-1008.112215,320.41946,4.2,36713
-1018.304881,362.7935711,4.9,36713
-1000.509188,281.4931111,4.4,36713
-1032.014904,361.125299,3.5,36713
-1052.850861,337.8807079,3.7,36713
-1009.972998,360.4579902,3.9,36713
-1044.778608,356.5653553,4.1,36713
-1030.626851,344.1089237,4,36713
-1019.141279,304.2928297,3.9,36713
-1046.498795,339.7714162,3.6,36713
-971.4516884,322.5326046,3.5,36713
-1002.044039,311.9668814,4.5,36713
-1042.87002,344.33136,4.5,36713
-1049.990954,349.3361762,4.3,36713
-991.6936056,316.8604795,5.3,36713
-1051.102512,357.2326641,4.9,36713
-1004.188491,309.9649549,4.4,36713
-1046.5479,354.6746469,3.6,36713
-997.014036,315.1922074,3.1,36713
-1031.245366,372.0246767,3.8,36713
-984.972064,303.9591753,4.4,36713
-1034.626536,345.9996321,3.3,36713
-1022.199192,309.9649549,3.7,36713
-1044.215544,333.209546,4.3,36713
-1027.196799,363.3496618,3.3,36714
-1044.062979,354.0073381,3.3,36714
-1018.682925,316.0819525,3.1,36714
-1061.725388,329.98422,3.4,36714
-1032.925285,339.1041074,3.9,36714
-1049.175901,335.5451269,3.2,36714
-1042.419804,332.8758916,3.3,36714
-972.8690398,332.6534553,4.5,36714
-1032.926127,334.9890362,3.5,36714
-1012.927896,287.7213269,3.5,36714
-1076.902604,335.1002544,3.6,36714
-1057.929875,346.3332865,3.2,36714
-1007.610329,344.4425781,3.7,36714
-1072.093605,360.6804265,3.2,36714
-978.6242013,314.5248986,3.5,36714
-1012.151909,363.9057525,3.2,36714
-967.6451227,331.7637102,4.7,36714
-988.4003825,296.7299962,3.5,36714
-1042.883689,359.5682451,3.2,36714
-1035.905133,325.5354944,4,36714
-1054.517665,350.5595758,3.9,36714
-1011.884201,370.4676228,3.3,36714
-1052.85287,328.9832567,3.3,36714
-1026.36606,348.6688674,4.6,36714
-1035.337244,342.1069972,4.2,36714
-981.5710559,371.3573679,4.8,36714
-1060.895576,362.682353,4.6,36714
-1053.62879,300.9562856,3.8,36714
-1047.243407,363.0160074,4.9,36714
-1049.050488,356.7877916,4.4,36714
-1040.205923,372.6919855,4.4,36714
-1022.279032,341.7733428,4.6,36714
-1045.927106,335.1002544,4.3,36714
-1017.759405,365.2403702,3.4,36714
-1010.097925,298.6207046,3.8,36714
-1056.005464,354.3409925,3.8,36714
-1059.062847,336.4348721,4,36714
-1034.24402,368.9105688,4.2,36714
-984.901434,335.8787814,3.6,36714
-1008.685518,326.9813302,3.6,36714
-1058.279001,354.4522107,3.2,36714
-1037.1266,339.2153255,3.3,36714
